START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
03/07/16,01:05 PM,01:05 PM,Phillies at Pirates,McKechnie Field - Bradenton,"Local TV: MLB.TV ----- Local Radio: MLB.com",03/07/16,03/07/16,04:05 PM,04:05 PM,FALSE,TRUE,03/07/16,12:05 PM,12:05 PM,FREE,BUSY
03/08/16,01:05 PM,01:05 PM,Pirates at Phillies,Bright House Field - Clearwater,"Local TV: TCN- MLB.TV",03/08/16,03/08/16,04:05 PM,04:05 PM,FALSE,TRUE,03/08/16,12:05 PM,12:05 PM,FREE,BUSY
03/09/16,01:05 PM,01:05 PM,Phillies at Twins,CenturyLink Sports Complex - Fort Myers,"",03/09/16,03/09/16,04:05 PM,04:05 PM,FALSE,TRUE,03/09/16,12:05 PM,12:05 PM,FREE,BUSY
03/09/16,01:05 PM,01:05 PM,Orioles at Phillies,Bright House Field - Clearwater,"Local TV: TCN- MLB.TV",03/09/16,03/09/16,04:05 PM,04:05 PM,FALSE,TRUE,03/09/16,12:05 PM,12:05 PM,FREE,BUSY
03/10/16,01:05 PM,01:05 PM,Tigers at Phillies,Bright House Field - Clearwater,"Local TV: TCN- MLBN- MLB.TV",03/10/16,03/10/16,04:05 PM,04:05 PM,FALSE,TRUE,03/10/16,12:05 PM,12:05 PM,FREE,BUSY
03/11/16,01:05 PM,01:05 PM,Phillies at Braves,Champion Stadium - Lake Buena Vista,"Local Radio: MLB.com",03/11/16,03/11/16,04:05 PM,04:05 PM,FALSE,TRUE,03/11/16,12:05 PM,12:05 PM,FREE,BUSY
03/12/16,01:05 PM,01:05 PM,Blue Jays at Phillies,Bright House Field - Clearwater,"Local TV: CSN- MLB.TV ----- Local Radio: 94 WIP",03/12/16,03/12/16,04:05 PM,04:05 PM,FALSE,TRUE,03/12/16,12:05 PM,12:05 PM,FREE,BUSY
03/13/16,01:05 PM,01:05 PM,Phillies at Yankees,George M. Steinbrenner Field - Tampa,"Local TV: MLB.TV ----- Local Radio: 94 WIP",03/13/16,03/13/16,04:05 PM,04:05 PM,FALSE,TRUE,03/13/16,12:05 PM,12:05 PM,FREE,BUSY
03/14/16,01:05 PM,01:05 PM,Phillies at Orioles,Ed Smith Stadium - Sarasota,"Local Radio: MLB.com",03/14/16,03/14/16,04:05 PM,04:05 PM,FALSE,TRUE,03/14/16,12:05 PM,12:05 PM,FREE,BUSY
03/15/16,01:05 PM,01:05 PM,Phillies at Rays,Charlotte Sports Park - Port Charlotte,"Local Radio: MLB.com",03/15/16,03/15/16,04:05 PM,04:05 PM,FALSE,TRUE,03/15/16,12:05 PM,12:05 PM,FREE,BUSY
03/17/16,01:05 PM,01:05 PM,Rays at Phillies,Bright House Field - Clearwater,"Local TV: TCN- MLB.TV",03/17/16,03/17/16,04:05 PM,04:05 PM,FALSE,TRUE,03/17/16,12:05 PM,12:05 PM,FREE,BUSY
03/18/16,01:05 PM,01:05 PM,Pirates at Phillies,Bright House Field - Clearwater,"Local TV: TCN- MLB.TV",03/18/16,03/18/16,04:05 PM,04:05 PM,FALSE,TRUE,03/18/16,12:05 PM,12:05 PM,FREE,BUSY
03/19/16,01:07 PM,01:07 PM,Phillies at Blue Jays,Florida Auto Exchange Stadium - Dunedin,"Local TV: MLB.TV ----- Local Radio: 94 WIP",03/19/16,03/19/16,04:07 PM,04:07 PM,FALSE,TRUE,03/19/16,12:07 PM,12:07 PM,FREE,BUSY
03/20/16,01:05 PM,01:05 PM,Astros at Phillies,Bright House Field - Clearwater,"Local TV: CSN- MLB.TV ----- Local Radio: 94 WIP",03/20/16,03/20/16,04:05 PM,04:05 PM,FALSE,TRUE,03/20/16,12:05 PM,12:05 PM,FREE,BUSY
03/21/16,01:05 PM,01:05 PM,Phillies at Tigers,Joker Marchant Stadium - Lakeland,"Local Radio: MLB.com",03/21/16,03/21/16,04:05 PM,04:05 PM,FALSE,TRUE,03/21/16,12:05 PM,12:05 PM,FREE,BUSY
03/22/16,01:05 PM,01:05 PM,Twins at Phillies,Bright House Field - Clearwater,"Local TV: TCN- MLB.TV",03/22/16,03/22/16,04:05 PM,04:05 PM,FALSE,TRUE,03/22/16,12:05 PM,12:05 PM,FREE,BUSY
03/23/16,06:05 PM,06:05 PM,Phillies at Astros,Osceola County Stadium - Kissimmee,"Local Radio: 94 WIP",03/23/16,03/23/16,09:05 PM,09:05 PM,FALSE,TRUE,03/23/16,05:05 PM,05:05 PM,FREE,BUSY
03/24/16,06:05 PM,06:05 PM,Phillies at Braves,Champion Stadium - Lake Buena Vista,"Local TV: MLB.TV ----- Local Radio: 94 WIP",03/24/16,03/24/16,09:05 PM,09:05 PM,FALSE,TRUE,03/24/16,05:05 PM,05:05 PM,FREE,BUSY
03/25/16,06:35 PM,06:35 PM,Blue Jays at Phillies,Bright House Field - Clearwater,"Local TV: CSN- MLB.TV ----- Local Radio: 94 WIP",03/25/16,03/25/16,09:35 PM,09:35 PM,FALSE,TRUE,03/25/16,05:35 PM,05:35 PM,FREE,BUSY
03/26/16,01:05 PM,01:05 PM,Tigers at Phillies,Bright House Field - Clearwater,"Local TV: CSN- MLB.TV ----- Local Radio: 94 WIP",03/26/16,03/26/16,04:05 PM,04:05 PM,FALSE,TRUE,03/26/16,12:05 PM,12:05 PM,FREE,BUSY
03/27/16,01:05 PM,01:05 PM,Phillies at Red Sox,JetBlue Park - Ft. Myers,"Local TV: MLB.TV ----- Local Radio: 94 WIP",03/27/16,03/27/16,04:05 PM,04:05 PM,FALSE,TRUE,03/27/16,12:05 PM,12:05 PM,FREE,BUSY
03/28/16,01:07 PM,01:07 PM,Phillies at Blue Jays,Florida Auto Exchange Stadium - Dunedin,"",03/28/16,03/28/16,04:07 PM,04:07 PM,FALSE,TRUE,03/28/16,12:07 PM,12:07 PM,FREE,BUSY
03/29/16,01:05 PM,01:05 PM,Yankees at Phillies,Bright House Field - Clearwater,"Local TV: TCN- MLBN- MLB.TV",03/29/16,03/29/16,04:05 PM,04:05 PM,FALSE,TRUE,03/29/16,12:05 PM,12:05 PM,FREE,BUSY
03/30/16,01:05 PM,01:05 PM,Astros at Phillies,Bright House Field - Clearwater,"Local TV: TCN- MLB.TV",03/30/16,03/30/16,04:05 PM,04:05 PM,FALSE,TRUE,03/30/16,12:05 PM,12:05 PM,FREE,BUSY
03/31/16,06:05 PM,06:05 PM,Phillies Futures at Phillies,FirstEnergy Stadium - Reading,"Local TV: TCN- MLB.TV ----- Local Radio: 94 WIP",03/31/16,03/31/16,09:05 PM,09:05 PM,FALSE,TRUE,03/31/16,05:05 PM,05:05 PM,FREE,BUSY
04/01/16,06:05 PM,06:05 PM,Orioles at Phillies,Citizens Bank Park - Philadelphia,"Local TV: TCN- MLB.TV ----- Local Radio: 94 WIP",04/01/16,04/01/16,09:05 PM,09:05 PM,FALSE,TRUE,04/01/16,05:05 PM,05:05 PM,FREE,BUSY
04/02/16,01:05 PM,01:05 PM,Phillies Futures at Phillies,Citizens Bank Park - Philadelphia,"Local TV: TCN- MLB.TV ----- Local Radio: 94 WIP",04/02/16,04/02/16,04:05 PM,04:05 PM,FALSE,TRUE,04/02/16,12:05 PM,12:05 PM,FREE,BUSY
04/04/16,04:10 PM,04:10 PM,Phillies at Reds,Great American Ball Park - Cincinnati,"Local TV: CSN",04/04/16,04/04/16,07:10 PM,07:10 PM,FALSE,TRUE,04/04/16,03:10 PM,03:10 PM,FREE,BUSY
04/06/16,07:10 PM,07:10 PM,Phillies at Reds,Great American Ball Park - Cincinnati,"Local TV: CSN- ESPN2",04/06/16,04/06/16,10:10 PM,10:10 PM,FALSE,TRUE,04/06/16,06:10 PM,06:10 PM,FREE,BUSY
04/07/16,12:35 PM,12:35 PM,Phillies at Reds,Great American Ball Park - Cincinnati,"Local TV: CSN",04/07/16,04/07/16,03:35 PM,03:35 PM,FALSE,TRUE,04/07/16,11:35 AM,11:35 AM,FREE,BUSY
04/08/16,01:10 PM,01:10 PM,Phillies at Mets,Citi Field - Flushing,"Local TV: CSN",04/08/16,04/08/16,04:10 PM,04:10 PM,FALSE,TRUE,04/08/16,12:10 PM,12:10 PM,FREE,BUSY
04/09/16,07:10 PM,07:10 PM,Phillies at Mets,Citi Field - Flushing,"Local TV: CSN",04/09/16,04/09/16,10:10 PM,10:10 PM,FALSE,TRUE,04/09/16,06:10 PM,06:10 PM,FREE,BUSY
04/10/16,01:10 PM,01:10 PM,Phillies at Mets,Citi Field - Flushing,"Local TV: TCN",04/10/16,04/10/16,04:10 PM,04:10 PM,FALSE,TRUE,04/10/16,12:10 PM,12:10 PM,FREE,BUSY
04/11/16,03:05 PM,03:05 PM,Padres at Phillies,Citizens Bank Park - Philadelphia,"Local TV: NBC 10",04/11/16,04/11/16,06:05 PM,06:05 PM,FALSE,TRUE,04/11/16,02:05 PM,02:05 PM,FREE,BUSY
04/12/16,07:05 PM,07:05 PM,Padres at Phillies,Citizens Bank Park - Philadelphia,"Local TV: TCN",04/12/16,04/12/16,10:05 PM,10:05 PM,FALSE,TRUE,04/12/16,06:05 PM,06:05 PM,FREE,BUSY
04/13/16,07:05 PM,07:05 PM,Padres at Phillies,Citizens Bank Park - Philadelphia,"Local TV: TCN",04/13/16,04/13/16,10:05 PM,10:05 PM,FALSE,TRUE,04/13/16,06:05 PM,06:05 PM,FREE,BUSY
04/14/16,01:05 PM,01:05 PM,Padres at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",04/14/16,04/14/16,04:05 PM,04:05 PM,FALSE,TRUE,04/14/16,12:05 PM,12:05 PM,FREE,BUSY
04/15/16,07:05 PM,07:05 PM,Nationals at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",04/15/16,04/15/16,10:05 PM,10:05 PM,FALSE,TRUE,04/15/16,06:05 PM,06:05 PM,FREE,BUSY
04/16/16,07:05 PM,07:05 PM,Nationals at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",04/16/16,04/16/16,10:05 PM,10:05 PM,FALSE,TRUE,04/16/16,06:05 PM,06:05 PM,FREE,BUSY
04/17/16,01:35 PM,01:35 PM,Nationals at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",04/17/16,04/17/16,04:35 PM,04:35 PM,FALSE,TRUE,04/17/16,12:35 PM,12:35 PM,FREE,BUSY
04/18/16,07:05 PM,07:05 PM,Mets at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",04/18/16,04/18/16,10:05 PM,10:05 PM,FALSE,TRUE,04/18/16,06:05 PM,06:05 PM,FREE,BUSY
04/19/16,07:05 PM,07:05 PM,Mets at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",04/19/16,04/19/16,10:05 PM,10:05 PM,FALSE,TRUE,04/19/16,06:05 PM,06:05 PM,FREE,BUSY
04/20/16,07:05 PM,07:05 PM,Mets at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",04/20/16,04/20/16,10:05 PM,10:05 PM,FALSE,TRUE,04/20/16,06:05 PM,06:05 PM,FREE,BUSY
04/22/16,08:10 PM,08:10 PM,Phillies at Brewers,Miller Park - Milwaukee,"Local TV: TCN",04/22/16,04/22/16,11:10 PM,11:10 PM,FALSE,TRUE,04/22/16,07:10 PM,07:10 PM,FREE,BUSY
04/23/16,07:10 PM,07:10 PM,Phillies at Brewers,Miller Park - Milwaukee,"Local TV: CSN",04/23/16,04/23/16,10:10 PM,10:10 PM,FALSE,TRUE,04/23/16,06:10 PM,06:10 PM,FREE,BUSY
04/24/16,02:10 PM,02:10 PM,Phillies at Brewers,Miller Park - Milwaukee,"Local TV: CSN",04/24/16,04/24/16,05:10 PM,05:10 PM,FALSE,TRUE,04/24/16,01:10 PM,01:10 PM,FREE,BUSY
04/26/16,07:05 PM,07:05 PM,Phillies at Nationals,Nationals Park - Washington,"Local TV: CSN",04/26/16,04/26/16,10:05 PM,10:05 PM,FALSE,TRUE,04/26/16,06:05 PM,06:05 PM,FREE,BUSY
04/27/16,07:05 PM,07:05 PM,Phillies at Nationals,Nationals Park - Washington,"Local TV: CSN",04/27/16,04/27/16,10:05 PM,10:05 PM,FALSE,TRUE,04/27/16,06:05 PM,06:05 PM,FREE,BUSY
04/28/16,04:05 PM,04:05 PM,Phillies at Nationals,Nationals Park - Washington,"Local TV: CSN",04/28/16,04/28/16,07:05 PM,07:05 PM,FALSE,TRUE,04/28/16,03:05 PM,03:05 PM,FREE,BUSY
04/29/16,07:05 PM,07:05 PM,Indians at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",04/29/16,04/29/16,10:05 PM,10:05 PM,FALSE,TRUE,04/29/16,06:05 PM,06:05 PM,FREE,BUSY
04/30/16,07:05 PM,07:05 PM,Indians at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",04/30/16,04/30/16,10:05 PM,10:05 PM,FALSE,TRUE,04/30/16,06:05 PM,06:05 PM,FREE,BUSY
05/01/16,02:35 PM,02:35 PM,Indians at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",05/01/16,05/01/16,05:35 PM,05:35 PM,FALSE,TRUE,05/01/16,01:35 PM,01:35 PM,FREE,BUSY
05/02/16,08:15 PM,08:15 PM,Phillies at Cardinals,Busch Stadium - St. Louis,"Local TV: CSN",05/02/16,05/02/16,11:15 PM,11:15 PM,FALSE,TRUE,05/02/16,07:15 PM,07:15 PM,FREE,BUSY
05/03/16,08:15 PM,08:15 PM,Phillies at Cardinals,Busch Stadium - St. Louis,"Local TV: CSN",05/03/16,05/03/16,11:15 PM,11:15 PM,FALSE,TRUE,05/03/16,07:15 PM,07:15 PM,FREE,BUSY
05/04/16,08:15 PM,08:15 PM,Phillies at Cardinals,Busch Stadium - St. Louis,"Local TV: CSN",05/04/16,05/04/16,11:15 PM,11:15 PM,FALSE,TRUE,05/04/16,07:15 PM,07:15 PM,FREE,BUSY
05/05/16,01:45 PM,01:45 PM,Phillies at Cardinals,Busch Stadium - St. Louis,"Local TV: CSN",05/05/16,05/05/16,04:45 PM,04:45 PM,FALSE,TRUE,05/05/16,12:45 PM,12:45 PM,FREE,BUSY
05/06/16,07:10 PM,07:10 PM,Phillies at Marlins,Marlins Park - Miami,"Local TV: TCN",05/06/16,05/06/16,10:10 PM,10:10 PM,FALSE,TRUE,05/06/16,06:10 PM,06:10 PM,FREE,BUSY
05/07/16,07:10 PM,07:10 PM,Phillies at Marlins,Marlins Park - Miami,"Local TV: CSN",05/07/16,05/07/16,10:10 PM,10:10 PM,FALSE,TRUE,05/07/16,06:10 PM,06:10 PM,FREE,BUSY
05/08/16,01:10 PM,01:10 PM,Phillies at Marlins,Marlins Park - Miami,"Local TV: CSN",05/08/16,05/08/16,04:10 PM,04:10 PM,FALSE,TRUE,05/08/16,12:10 PM,12:10 PM,FREE,BUSY
05/10/16,07:10 PM,07:10 PM,Phillies at Braves,Turner Field - Atlanta,"Local TV: CSN",05/10/16,05/10/16,10:10 PM,10:10 PM,FALSE,TRUE,05/10/16,06:10 PM,06:10 PM,FREE,BUSY
05/11/16,07:10 PM,07:10 PM,Phillies at Braves,Turner Field - Atlanta,"Local TV: CSN",05/11/16,05/11/16,10:10 PM,10:10 PM,FALSE,TRUE,05/11/16,06:10 PM,06:10 PM,FREE,BUSY
05/12/16,07:10 PM,07:10 PM,Phillies at Braves,Turner Field - Atlanta,"Local TV: CSN",05/12/16,05/12/16,10:10 PM,10:10 PM,FALSE,TRUE,05/12/16,06:10 PM,06:10 PM,FREE,BUSY
05/13/16,07:05 PM,07:05 PM,Reds at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",05/13/16,05/13/16,10:05 PM,10:05 PM,FALSE,TRUE,05/13/16,06:05 PM,06:05 PM,FREE,BUSY
05/14/16,07:05 PM,07:05 PM,Reds at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",05/14/16,05/14/16,10:05 PM,10:05 PM,FALSE,TRUE,05/14/16,06:05 PM,06:05 PM,FREE,BUSY
05/15/16,01:35 PM,01:35 PM,Reds at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",05/15/16,05/15/16,04:35 PM,04:35 PM,FALSE,TRUE,05/15/16,12:35 PM,12:35 PM,FREE,BUSY
05/16/16,07:05 PM,07:05 PM,Marlins at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",05/16/16,05/16/16,10:05 PM,10:05 PM,FALSE,TRUE,05/16/16,06:05 PM,06:05 PM,FREE,BUSY
05/17/16,07:05 PM,07:05 PM,Marlins at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",05/17/16,05/17/16,10:05 PM,10:05 PM,FALSE,TRUE,05/17/16,06:05 PM,06:05 PM,FREE,BUSY
05/18/16,01:05 PM,01:05 PM,Marlins at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",05/18/16,05/18/16,04:05 PM,04:05 PM,FALSE,TRUE,05/18/16,12:05 PM,12:05 PM,FREE,BUSY
05/20/16,07:05 PM,07:05 PM,Braves at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",05/20/16,05/20/16,10:05 PM,10:05 PM,FALSE,TRUE,05/20/16,06:05 PM,06:05 PM,FREE,BUSY
05/21/16,03:05 PM,03:05 PM,Braves at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",05/21/16,05/21/16,06:05 PM,06:05 PM,FALSE,TRUE,05/21/16,02:05 PM,02:05 PM,FREE,BUSY
05/22/16,01:35 PM,01:35 PM,Braves at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",05/22/16,05/22/16,04:35 PM,04:35 PM,FALSE,TRUE,05/22/16,12:35 PM,12:35 PM,FREE,BUSY
05/23/16,07:10 PM,07:10 PM,Phillies at Tigers,Comerica Park - Detroit,"Local TV: CSN",05/23/16,05/23/16,10:10 PM,10:10 PM,FALSE,TRUE,05/23/16,06:10 PM,06:10 PM,FREE,BUSY
05/24/16,07:10 PM,07:10 PM,Phillies at Tigers,Comerica Park - Detroit,"Local TV: CSN",05/24/16,05/24/16,10:10 PM,10:10 PM,FALSE,TRUE,05/24/16,06:10 PM,06:10 PM,FREE,BUSY
05/25/16,01:10 PM,01:10 PM,Phillies at Tigers,Comerica Park - Detroit,"Local TV: CSN",05/25/16,05/25/16,04:10 PM,04:10 PM,FALSE,TRUE,05/25/16,12:10 PM,12:10 PM,FREE,BUSY
05/27/16,02:20 PM,02:20 PM,Phillies at Cubs,Wrigley Field - Chicago,"Local TV: TCN",05/27/16,05/27/16,05:20 PM,05:20 PM,FALSE,TRUE,05/27/16,01:20 PM,01:20 PM,FREE,BUSY
05/28/16,02:20 PM,02:20 PM,Phillies at Cubs,Wrigley Field - Chicago,"Local TV: CSN",05/28/16,05/28/16,05:20 PM,05:20 PM,FALSE,TRUE,05/28/16,01:20 PM,01:20 PM,FREE,BUSY
05/29/16,02:20 PM,02:20 PM,Phillies at Cubs,Wrigley Field - Chicago,"Local TV: CSN",05/29/16,05/29/16,05:20 PM,05:20 PM,FALSE,TRUE,05/29/16,01:20 PM,01:20 PM,FREE,BUSY
05/30/16,07:05 PM,07:05 PM,Nationals at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",05/30/16,05/30/16,10:05 PM,10:05 PM,FALSE,TRUE,05/30/16,06:05 PM,06:05 PM,FREE,BUSY
05/31/16,07:05 PM,07:05 PM,Nationals at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",05/31/16,05/31/16,10:05 PM,10:05 PM,FALSE,TRUE,05/31/16,06:05 PM,06:05 PM,FREE,BUSY
06/01/16,07:05 PM,07:05 PM,Nationals at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",06/01/16,06/01/16,10:05 PM,10:05 PM,FALSE,TRUE,06/01/16,06:05 PM,06:05 PM,FREE,BUSY
06/02/16,07:05 PM,07:05 PM,Brewers at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",06/02/16,06/02/16,10:05 PM,10:05 PM,FALSE,TRUE,06/02/16,06:05 PM,06:05 PM,FREE,BUSY
06/03/16,07:05 PM,07:05 PM,Brewers at Phillies,Citizens Bank Park - Philadelphia,"Local TV: NBC 10",06/03/16,06/03/16,10:05 PM,10:05 PM,FALSE,TRUE,06/03/16,06:05 PM,06:05 PM,FREE,BUSY
06/04/16,03:05 PM,03:05 PM,Brewers at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",06/04/16,06/04/16,06:05 PM,06:05 PM,FALSE,TRUE,06/04/16,02:05 PM,02:05 PM,FREE,BUSY
06/05/16,01:35 PM,01:35 PM,Brewers at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",06/05/16,06/05/16,04:35 PM,04:35 PM,FALSE,TRUE,06/05/16,12:35 PM,12:35 PM,FREE,BUSY
06/06/16,07:05 PM,07:05 PM,Cubs at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",06/06/16,06/06/16,10:05 PM,10:05 PM,FALSE,TRUE,06/06/16,06:05 PM,06:05 PM,FREE,BUSY
06/07/16,07:05 PM,07:05 PM,Cubs at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",06/07/16,06/07/16,10:05 PM,10:05 PM,FALSE,TRUE,06/07/16,06:05 PM,06:05 PM,FREE,BUSY
06/08/16,01:05 PM,01:05 PM,Cubs at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",06/08/16,06/08/16,04:05 PM,04:05 PM,FALSE,TRUE,06/08/16,12:05 PM,12:05 PM,FREE,BUSY
06/10/16,07:05 PM,07:05 PM,Phillies at Nationals,Nationals Park - Washington,"Local TV: NBC 10",06/10/16,06/10/16,10:05 PM,10:05 PM,FALSE,TRUE,06/10/16,06:05 PM,06:05 PM,FREE,BUSY
06/11/16,12:05 PM,12:05 PM,Phillies at Nationals,Nationals Park - Washington,"Local TV: CSN",06/11/16,06/11/16,03:05 PM,03:05 PM,FALSE,TRUE,06/11/16,11:05 AM,11:05 AM,FREE,BUSY
